Symbol
RELIANCE.NS
TCS.NS
HDFCBANK.NS
INFY.NS
ICICIBANK.NS
HINDUNILVR.NS
ITC.NS
SBIN.NS
BHARTIARTL.NS
KOTAKBANK.NS
LT.NS
AXISBANK.NS
ASIANPAINT.NS
MARUTI.NS
HCLTECH.NS
TITAN.NS
SUNPHARMA.NS
BAJFINANCE.NS
WIPRO.NS
ULTRACEMCO.NS
NESTLEIND.NS
ONGC.NS
NTPC.NS
TATAMOTORS.NS
POWERGRID.NS
M&M.NS
JSWSTEEL.NS
ADANIENT.NS
ADANIPORTS.NS
TATASTEEL.NS
BAJAJFINSV.NS
COALINDIA.NS
TECHM.NS
HDFCLIFE.NS
BRITANNIA.NS
INDUSINDBK.NS
CIPLA.NS
GRASIM.NS
SBILIFE.NS
DIVISLAB.NS
DRREDDY.NS
HEROMOTOCO.NS
EICHERMOT.NS
APOLLOHOSP.NS
TATACONSUM.NS
BAJAJ-AUTO.NS
BPCL.NS
HINDALCO.NS
UPL.NS
LTIM.NS
DABUR.NS
HAVELLS.NS
PIDILITIND.NS
SIEMENS.NS
ABB.NS
GODREJCP.NS
AMBUJACEM.NS
DLF.NS
BANKBARODA.NS
TRENT.NS
INDIGO.NS
PNB.NS
CANBK.NS
IDFCFIRSTB.NS
MUTHOOTFIN.NS
IOC.NS
GAIL.NS
VEDL.NS
LICHSGFIN.NS
NAUKRI.NS
COLPAL.NS
BERGEPAINT.NS
TATAPOWER.NS
JUBLFOOD.NS
POLYCAB.NS
HDFCAMC.NS
ICICIGI.NS
ICICIPRULI.NS
MARICO.NS
SAIL.NS
PEL.NS
ACC.NS
LUPIN.NS
CONCOR.NS
PIIND.NS
AUBANK.NS
VOLTAS.NS
MFSL.NS
MRF.NS
TORNTPHARM.NS
AUROPHARMA.NS
BIOCON.NS
DMART.NS
ABCAPITAL.NS
OFSS.NS
LALPATHLAB.NS
ASTRAL.NS
COFORGE.NS
PERSISTENT.NS
LAURUSLABS.NS
SYNGENE.NS
DEEPAKNTR.NS
MPHASIS.NS
ATUL.NS
ALKEM.NS
ESCORTS.NS
TATACOMM.NS
CROMPTON.NS
BEL.NS
HAL.NS
INDIANB.NS
FEDERALBNK.NS
CUMMINSIND.NS
HONAUT.NS
PAGEIND.NS
SRTRANSFIN.NS
LTTS.NS
OBEROIRLTY.NS
PRESTIGE.NS
PHOENIXLTD.NS
GODREJPROP.NS
DIXON.NS
JINDALSTEL.NS
NMDC.NS
HINDPETRO.NS
IEX.NS
IDEA.NS
ZOMATO.NS
PAYTM.NS
NYKAA.NS
POLICYBZR.NS
DELHIVERY.NS
CUB.NS
RAMCOCEM.NS
SUNDARMFIN.NS
MANAPPURAM.NS
RECLTD.NS
PFC.NS
IRCTC.NS
IRFC.NS
NATCOPHARM.NS
GLENMARK.NS
METROPOLIS.NS
IPCALAB.NS
SONACOMS.NS
THERMAX.NS
CGPOWER.NS
SUPREMEIND.NS
KPITTECH.NS
TIINDIA.NS
ZYDUSLIFE.NS
SHREECEM.NS
EMAMILTD.NS
JKCEMENT.NS
BALKRISIND.NS
SCHAEFFLER.NS
AMARAJABAT.NS
SRF.NS
ENDURANCE.NS
APLAPOLLO.NS
GRINDWELL.NS
KAJARIACER.NS
BLUEDART.NS
CENTURYTEX.NS
SUMICHEM.NS
NAVINFLUOR.NS
CLEAN.NS
AARTIIND.NS
FINEORG.NS
CARBORUNIV.NS
COROMANDEL.NS
KANSAINER.NS
MSUMI.NS
RATNAMANI.NS
PGHH.NS
GLAXO.NS
PFIZER.NS
ABFRL.NS
CANFINHOME.NS
BATAINDIA.NS
WHIRLPOOL.NS
TVSMOTOR.NS
ASHOKLEY.NS
BOSCHLTD.NS
GNFC.NS
MCX.NS
INDHOTEL.NS
CHOLAFIN.NS
AJANTPHARM.NS
IDFC.NS
RAIN.NS
SPARC.NS
SCHNEIDER.NS
STARHEALTH.NS
MAXHEALTH.NS
MEDANTA.NS
FORTIS.NS
YESBANK.NS
BANDHANBNK.NS
AWL.NS
