Symbol
RELIANCE.NS
TCS.NS
HDFCBANK.NS
INFY.NS
ICICIBANK.NS
HINDUNILVR.NS
ITC.NS
SBIN.NS
BHARTIARTL.NS
KOTAKBANK.NS
LT.NS
AXISBANK.NS
ASIANPAINT.NS
MARUTI.NS
HCLTECH.NS
TITAN.NS
SUNPHARMA.NS
BAJFINANCE.NS
WIPRO.NS
ULTRACEMCO.NS
NESTLEIND.NS
ONGC.NS
NTPC.NS
TATAMOTORS.NS
POWERGRID.NS
M&M.NS
JSWSTEEL.NS
ADANIENT.NS
ADANIPORTS.NS
TATASTEEL.NS
BAJAJFINSV.NS
COALINDIA.NS
TECHM.NS
HDFCLIFE.NS
BRITANNIA.NS
INDUSINDBK.NS
CIPLA.NS
GRASIM.NS
SBILIFE.NS
DIVISLAB.NS
DRREDDY.NS
HEROMOTOCO.NS
EICHERMOT.NS
APOLLOHOSP.NS
TATACONSUM.NS
BAJAJ-AUTO.NS
BPCL.NS
HINDALCO.NS
UPL.NS
LTIM.NS
